baseDate,sido,firstCnt,secondCnt,totalFirstCnt,totalSecondCnt,accumulatedFirstCnt,accumulatedSecondCnt,id,thirdCnt,totalThirdCnt,accumulatedThirdCnt
2022-11-02 00:00:00,대전광역시,4.0,6.0,1245494,1233408.0,1245490,1233402.0,10074,63.0,908875.0,908812.0
2022-11-02 00:00:00,인천광역시,3.0,20.0,2573780,2549628.0,2573777,2549608.0,10073,147.0,1914232.0,1914085.0
2022-11-02 00:00:00,대구광역시,6.0,7.0,2018633,1995828.0,2018627,1995821.0,10072,67.0,1404822.0,1404755.0
2022-11-02 00:00:00,부산광역시,13.0,17.0,2879869,2851319.0,2879856,2851302.0,10071,137.0,2139911.0,2139774.0
2022-11-02 00:00:00,서울특별시,25.0,40.0,8336104,8258490.0,8336079,8258450.0,10070,559.0,6073894.0,6073335.0
2022-11-02 00:00:00,전국,156.0,217.0,45121392,44691291.0,45121236,44691074.0,10069,2020.0,33659345.0,33657325.0
2022-11-02 00:00:00,세종특별자치시,1.0,1.0,300411,296705.0,300410,296704.0,10077,9.0,210931.0,210922.0
2022-11-02 00:00:00,경기도,39.0,50.0,11836109,11722155.0,11836070,11722105.0,10078,566.0,8703755.0,8703189.0
2022-11-02 00:00:00,제주특별자치도,2.0,6.0,590963,585341.0,590961,585335.0,10086,11.0,438905.0,438894.0
2022-11-02 00:00:00,경상남도,6.0,12.0,2882875,2853809.0,2882869,2853797.0,10085,111.0,2145187.0,2145076.0
2022-11-02 00:00:00,경상북도,11.0,12.0,2293293,2269645.0,2293282,2269633.0,10084,74.0,1726901.0,1726827.0
2022-11-02 00:00:00,전라남도,6.0,10.0,1655409,1641127.0,1655403,1641117.0,10083,27.0,1364935.0,1364908.0
2022-11-02 00:00:00,전라북도,9.0,10.0,1593932,1581070.0,1593923,1581060.0,10082,44.0,1285595.0,1285551.0
2022-11-02 00:00:00,충청남도,6.0,3.0,1901690,1884265.0,1901684,1884262.0,10081,49.0,1479218.0,1479169.0
2022-11-02 00:00:00,충청북도,6.0,12.0,1430718,1418278.0,1430712,1418266.0,10080,42.0,1108207.0,1108165.0
2022-11-02 00:00:00,강원도,11.0,8.0,1351836,1340619.0,1351825,1340611.0,10079,46.0,1064766.0,1064720.0
2022-11-01 00:00:00,울산광역시,3.0,4.0,968334,959091.0,968331,959087.0,10058,40.0,720414.0,720374.0
2022-11-01 00:00:00,대전광역시,6.0,5.0,1245611,1233523.0,1245605,1233518.0,10057,43.0,908901.0,908858.0
2022-11-01 00:00:00,인천광역시,5.0,10.0,2573530,2549363.0,2573525,2549353.0,10056,145.0,1913885.0,1913740.0
2022-11-01 00:00:00,대구광역시,9.0,4.0,2018731,1995928.0,2018722,1995924.0,10055,79.0,1404828.0,1404749.0
2022-11-01 00:00:00,광주광역시,8.0,6.0,1262247,1250821.0,1262239,1250815.0,10054,38.0,968985.0,968947.0
